[2026-07-15 16:09:37] Initialized 27 file hashes in whitelist
[2026-07-15 16:09:37] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 16:14:11] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:11] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:14] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:14] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:17] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:17] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:20] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:20] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:23] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:23] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:26] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:26] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:29] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:29] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:32] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:32] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:35] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:35] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:38] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:38] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:41] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:41] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:44] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:14:44] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
