Date,EndDate,Critical,Error,Warning,TotalIssues,HealthScore
2026-01-01 00:00:00,2026-01-06 23:59:59,0,19,39,77,25
2026-01-07 00:00:00,2026-01-12 23:59:59,0,13,6,32,75
2026-01-13 00:00:00,2026-01-18 23:59:59,0,13,7,33,74
2026-01-19 00:00:00,2026-01-24 23:59:59,0,48,109,205,0
2026-01-25 00:00:00,2026-01-30 23:59:59,0,29,24,82,20
2026-01-31 00:00:00,2026-02-05 23:59:59,0,26,11,63,41
2026-02-06 00:00:00,2026-02-11 23:59:59,0,20,21,61,43
2026-02-12 00:00:00,2026-02-17 23:59:59,0,16,9,41,65
2026-02-18 00:00:00,2026-02-23 23:59:59,0,10,1,21,87
2026-02-24 00:00:00,2026-03-01 23:59:59,0,80,15,175,0
