Date,EndDate,Critical,Error,Warning,TotalIssues,HealthScore
2026-01-01 00:00:00,2026-01-06 23:59:59,0,125,395,645,0
2026-01-07 00:00:00,2026-01-12 23:59:59,0,111,250,472,0
2026-01-13 00:00:00,2026-01-18 23:59:59,0,147,357,651,0
2026-01-19 00:00:00,2026-01-24 23:59:59,7,227,716,1191,0
2026-01-25 00:00:00,2026-01-30 23:59:59,0,145,360,650,0
2026-01-31 00:00:00,2026-02-05 23:59:59,0,91,275,457,0
2026-02-06 00:00:00,2026-02-11 23:59:59,0,138,330,606,0
2026-02-12 00:00:00,2026-02-17 23:59:59,0,341,399,1081,0
2026-02-18 00:00:00,2026-02-23 23:59:59,0,10,44,64,40
2026-02-24 00:00:00,2026-03-01 23:59:59,0,173,361,707,0
